ArcName,Volcano Name,GVP Volcano Number,latitude,longitude,,Mean SO2 flux [kt/y] ,SD ,Final SO2 flux (2005-2015) from combined space- and  and ground-based measurements ,SO2 flux uncertainty ,method,References,DOI,ktons,Erupted CO2 flux (ktons) using measured C/S,Erupted CO2 flux using predicted C/S,"C/S (molar) Aiuppa et al., 2017, 2018 and from plume MG",SD,"predicted C/S (molar) Aiuppa et al., 2019 ",SD ,"Predicted C/S based on group following Aiuppa et al., 2019 method",SD ,CO2 flux (kt/yr) based on measured C/S,"Predicted CO2 flux (kt/yr) using published predicted C/S (Aiuppa et al., 2019)",Predicted CO2 flux (kt/yr) using extrapolated predicted C/S,CO2 summary (kt/y),SD CO2 summary (kt/y)summary (kt/y),,,
,,,,,ktons/y,kt/y,,ktons/y,ktons/y,Space Based or Ground based,,,,,,,,,,,,,,,,,,,
Tonga,Hunga Tonga-Hunga Ha'apai,243040,-20.536,-175.382,,,,, ,,"Carn et al., 2017",10.1038/srep44095,14,,11.6,,,,,1.2,0.8,,,,,,,,
New_Zealand,WHITE_ISLAND,241040,-37.52,177.18,92.71,111,44,92.7,104.5,SB,"Carn et al., 2017",10.1038/srep44095,,,,4,1.2,,,,,255.0,,,255.0,161.7,,,
New_Zealand,TONGARIRO,241080,-39.157,175.632,,54,80,54.0,16.2,GB,this work ,,1,,1.7,,,,,2.4,0.8,,,89.1,89.1,40.0,,,
New_Zealand,RUAPEHU,241100,-39.28,175.57,,20,24,20.0,6.0,GB,this work ,,,,,,,,,2.4,0.8,,,33.0,33.0,14.8,,,
North_Sumatra,SINABUNG,261080,3.17,98.392,119.355,,,119.4,134.5,SB,"Carn et al., 2017",10.1038/srep44095,35,,57.8,,,2.4,1.3,,,,196.9,,196.9,149.7,,,
Central_Sumatra,MARAPI,261140,-0.38,100.474,12.41,,,12.4,14.0,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,1.2,0.5,,,,10.2,,10.2,8.9,,,
Central_Sumatra,TALANG,261160,-0.979,100.681,,,,, ,,"Carn et al., 2017",10.1038/srep44095,1,,0.8,,,,,1.2,0.8,,,,,,,,
South_Sumatra,KERINCI,261170,-1.697,101.264,107.31,,,107.3,121.0,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.6,1.3,,,,191.8,,191.8,139.5,,,
Sunda_Strait,KRAKATAU,262000,-6.102,105.423,110.595,,,110.6,124.7,SB,"Carn et al., 2017",10.1038/srep44095,,,,0.4,0.1,,,,,30.4,,,30.4,17.8,,,
Sunda_Strait,PAPANDAYAN,263100,-7.32,107.73,,,,,0.3,GB,this work ,,,,,3.31,0.8,,,,,0.0,,,0.0,,,,
Java,SLAMET,263180,-7.242,109.208,75.19,,,75.2,84.7,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.2,1.3,,,,113.7,,113.7,90.3,,,
Java,MERAPI,263250,-7.54,110.446,11.68,55,15,11.7,13.2,SB,"Carn et al., 2017",10.1038/srep44095,310,1278.8,,6,0.5,,,,,48.2,,,48.2,35.4,,,
Java,KELUT,263280,-7.93,112.308,,,,, ,,"Carn et al., 2017",10.1038/srep44095,200,,302.5,,,,,2.2,0.8,,,,,,,,
Java,TENGGER_CALDERA,263310,-7.942,112.95,282.875,,,282.9,318.8,SB,"Carn et al., 2017",10.1038/srep44095,127,358.0,,4.1,0.7,,,,,797.4,,,797.4,441.2,,,
Java,KAWAH-IJEN,263350,-8.058,114.242,230.315,,,230.3,259.6,SB,"Carn et al., 2017",10.1038/srep44095,,,,2.6,0.5,,,,,411.7,,,411.7,230.5,,,
Bali/Lombok,RAUNG,263340,-8.119,114.056,,,,, ,,"Carn et al., 2017",10.1038/srep44095,129,230.6,,2.6,0.7,,,,,,,,,,,,
Bali/Lombok,IJEN,263350,-8.058,114.242,230.315,,,230.3,259.6,SB,"Carn et al., 2017",10.1038/srep44095,,,,2.6,0.5,,,,,411.7,,,411.7,230.5,,,
Bali/Lombok,AGUNG,264020,-8.343,115.508,,,,, ,,"Carn et al., 2017",10.1038/srep44095,35,,120.3,,,,,5,1.5,,,,,,,,
Bali/Lombok,RINJANI,264030,-8.42,116.47,27.01,,,27.0,30.4,SB,"Carn et al., 2017",10.1038/srep44095,26,,76.9,,,4.3,1.3,,,,79.8,,79.8,51.2,,,
Bali/Lombok,SANGEANG_API,264050,-8.2,119.07,25.915,,,25.9,29.2,SB,"Carn et al., 2017",10.1038/srep44095,100,,336.9,,,4.9,1.3,,,,87.3,,87.3,54.8,,,
West_Banda_Sea,EBULOBO,264100,-8.82,121.18,31.39,,,31.4,35.4,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.6,1.3,,,,56.1,,56.1,41.9,,,
West_Banda_Sea,PALUWEH,264150,-8.32,121.708,21.9,,,21.9,24.7,SB,"Carn et al., 2017",10.1038/srep44095,40,,71.5,,,2.6,1.3,,,,39.1,,39.1,30.9,,,
West_Banda_Sea,LEWOTOLO,264230,-8.272,123.505,,,,, ,,"Carn et al., 2017",10.1038/srep44095,,,,1.9,0.6,,,,,,,,,,,,
West_Banda_Sea,BATU_TARA,264260,-7.791,123.585,230.68,,,230.7,260.0,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.4,0.7,,,,380.6,,380.6,228.5,,,
West_Banda_Sea,SIRUNG,264270,-8.508,124.13,136.145,,,136.1,153.5,SB,"Carn et al., 2017",10.1038/srep44095,,,,3.2,2,,,,,299.5,,,299.5,244.9,,,
Halmahera,DUKONO,268010,1.693,127.894,629.99,,,630.0,710.1,SB,"Carn et al., 2017",10.1038/srep44095,,,,0.4,0.1,,,,,173.2,,,173.2,100.6,,,
Halmahera,GAMALAMA,268060,0.8,127.33,,,,, ,,"Carn et al., 2017",10.1038/srep44095,8,,27.5,,,,,5,1.5,,,,,,,,
Halmahera,GAMKONORA,268040,1.38,127.53,,,,, ,,"Carn et al., 2017",10.1038/srep44095,1,,3.4,,,,,5,1.5,,,,,,,,
Sangihe,KARANGETANG,267020,2.781,125.407,114.245,,,114.2,128.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,5,1.3,,,,392.7,,392.7,230.4,,,
Sulawesi,LOKON-EMPUNG,266100,1.358,124.792,74.46,,,74.5,83.9,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,,,5,1.5,,,256.0,256.0,157.5,,,
Sulawesi,SOPUTAN,266030,1.112,124.737,,,,, ,,"Carn et al., 2017",10.1038/srep44095,117,,402.2,,,,,5,1.5,,,,,,,,
North_Lesser_Antilles,SOUFRIERE_HILLS(MONTSERRAT),360050,16.72,-62.18,473.04,0.1,,473.0,533.2,SB,"Carn et al., 2017, Werner et al., 2019",10.1038/srep44095,255,701.3,,4,1.1,,,,,1300.9,,,1300.9,769.7,,,
North_Lesser_Antilles,SOUFRIERE_GUADELOUPE,360060,16.044,-61.664,,,,, ,,"Carn et al., 2017",10.1038/srep44095,,,,,0.5,,,,,,,,,,,,
South_Lesser_Antilles,SOUFRIERE_ST._VINCENT,360150,13.33,-61.18,,,,, ,,"Carn et al., 2017",10.1038/srep44095,,,,14.7,,,,,,,,,,,,,
Scotia,MICHAEL(SAUNDERS),,,,95.995,,,96.0,108.2,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,1.2,5,,,,79.2,,79.2,332.9,,,
Italy,ETNA,211060,37.748,14.999,741.68,640,355,741.7,836.0,SB,"Carn et al., 2017",10.1038/srep44095,312,1394.3,,6.5,2.2,,,,,3314.4,,,3314.4,2066.2,,,
Italy,STROMBOLI,211040,38.789,15.213,66.065,,,66.1,74.5,SB,"Carn et al., 2017",10.1038/srep44095,,,,7.2,2.8,,,,,327.0,,,327.0,220.5,,,
Italy,VULCANO ISLAND,211050,38.404,14.962,,1,0.3,1,0.3,GB,"Arellano et al., in rev",10.196/novac.vulcano.001,,,,9.2,4.4,,,,,6.3,,,6.3,3.6,,,
Greece,Santorini,212040,36.404,25.396,,,,,,,"Carn et al., 2017",10.1038/srep44095,,,,,,,,,,,,,,,,,
D.R. Congo,NYIRAGONGO,223030,-1.52,29.25,1289.545,290,67,290.0,1298.3,SB,"Arellano et al., in rev, Werner et al., 2019",10.196/novac.nyiragongo.001,,,,5,,,,,,996.9,,,996.9,607.2,,,
D.R. Congo,NYAMURAGIRA,223020,-1.408,29.2,,,,1000.0,520.0,SB,this work ,,2995,,,,,,,,,,,,,,,,
Tanzania,Oldoinyo Lengai,222120,-2.764,35.914,,,,, ,,"Carn et al., 2017",10.1038/srep44095,0.2,,,,,,,,,,,,,,,,
Yemen,JEBEL AT-TAIR,221010,15.55,41.83,37.595,,,37.6,42.4,SB,"Carn et al., 2017",10.1038/srep44095,80,,341.0,,,6.2,1.8,,,,160.2,,160.2,104.5,,,
Yemen,ZUBAIR GROUP,221020,15.05,42.18,,,,, ,,"Carn et al., 2017",10.1038/srep44095,1,,,,,,,,,,,,,,,,
Ethiopia,ERTA 'ALE-DALAFFILLA,221080,13.6,40.67,23.36,,,23.4,26.3,SB,"Carn et al., 2017",10.1038/srep44095,150,,,,,,,,,,,,,,,,
Ethiopia,MANDA HARARO,221115,12.17,40.82,,,,, ,,"Carn et al., 2017",10.1038/srep44095,60,,,,,,,,,,,,,,,,
Eritrea,NABRO,221101,13.37,41.7,,,,, ,,"Carn et al., 2017",10.1038/srep44095,3650,,,,,,,,,,,,,,,,
France,PITON DE LA FOURNAISE,233020,-21.244,55.708,85.41,37,3,85.4,96.3,SB,"Carn et al., 2017",10.1038/srep44095,345,142.3,,0.6,0.2,,,,,35.2,,,35.2,107.3,,,
Iceland,Eyjafjallajökull,372020,63.633,-19.633,,,,, ,,"Carn et al., 2017",10.1038/srep44095,466,,,,,,,,,,,,,,,,
Iceland,Grimsvotn,373010,64.416,-17.316,,,,, ,,"Carn et al., 2017",10.1038/srep44095,300,,,,,,,,,,,,,,,,
Iceland,Bardabunga,373030,64.633,-17.516,,,,, ,,"Carn et al., 2017",10.1038/srep44095,11000,8696.9,,1.15,,,,,,,,,,,,,
Iceland,Krisuvik,371030,63.883,-22.083,,,,,,,"Carn et al., 2017",10.1038/srep44095,,,,,,,,,,,,,,,,,
Galapagos,Sierra Negra,353050,-0.83,-91.17,14.6,,,14.6,16.5,SB,"Carn et al., 2017",10.1038/srep44095,1928,,,,,,,,,,,,,,,,
Galapagos,Cerro Azul,353060,-0.92,-91.408,,,,, ,,"Carn et al., 2017",10.1038/srep44095,157,,,,,,,,,,,,,,,,
Galapagos,Fernandina,353010,-0.37,-91.55,,,,, ,,"Carn et al., 2017",10.1038/srep44095,757,,,,,,,,,,,,,,,,
Galapagos,Wolf,353020,0.02,-91.35,,,,, ,,"Carn et al., 2017",10.1038/srep44095,200,,,,,,,,,,,,,,,,
Scotia,Montagu,390081,-58.445,-26.374,51.83,,,51.8,58.4,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,1.2,0.5,,,,42.8,,42.8,31.8,,,
Andaman,Barren Island,260010,12.278,93.858,88.695,,,88.7,100.0,SB,"Carn et al., 2017",10.1038/srep44095,0.2,,0.3,,,2.2,1.3,,,,134.2,,134.2,107.4,,,
Hawaii,Kilauea,332010,19.421,-155.287,1831.935,,,1831.9,2064.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,,,,,1200.0,,,1200.0,,,,
Bismarck,MANAM,251020,-4.08,145.037,541.66,,,541.7,610.5,SB,"Carn et al., 2017",10.1038/srep44095,250,,464.1,,,2.7,0.7,,,,1005.5,,1005.5,587.8,,,
Antarctica,EREBUS,390020,-77.53,167.17,18.98,,,19.0,21.4,SB,"Carn et al., 2017",10.1038/srep44095,,,,33.4,,,,,,436,,,436.0,,,,
Cape Verde,FOGO,384010,14.95,-24.35,,,,, ,,,,382,,,,,,,,,,,,,,,,
Comores,Karthala,233010,-11.75,43.38,,,,, ,,,,41,,,,,,,,,,,,,,,,
n,,,,,77,66,,124,,,,,89,26,52,74,,35,,61,,67,33,23,125,,,,
Total Fluxes (kt/y),,,,,18125,6931,,24274,2302,,,,33324,14455,9007,,,,,,,22893,11132,1954,36117,,,,
