ArcName,Volcano Name,GVP Volcano Number,latitude,longitude,,Mean SO2 flux [kt/y] ,SD ,Final SO2 flux (2005-2015) from combined space- and  and ground-based measurements ,SO2 flux uncertainty ,method,References,DOI,ktons,Erupted CO2 flux (ktons) using measured C/S,Erupted CO2 flux using predicted C/S,"C/S (molar) Aiuppa et al., 2017, 2018 and from plume MG",SD,"predicted C/S (molar) Aiuppa et al., 2019 ",SD ,"Predicted C/S based on group following Aiuppa et al., 2019 method",SD ,CO2 flux (kt/yr) based on measured C/S,"Predicted CO2 flux (kt/yr) using published predicted C/S (Aiuppa et al., 2019)",Predicted CO2 flux (kt/yr) using extrapolated predicted C/S,CO2 summary (kt/y),SD CO2 summary (kt/y)summary (kt/y),,,
,,,,,ktons/y,kt/y,,ktons/y,ktons/y,Space Based or Ground based,,,,,,,,,,,,,,,,,,,
Nicaragua,TELICA,344040,12.606,-86.84,,51,23,51.0,15.3,GB,"Arellano et al., in rev, Werner et al., 2019",10.196/novac.telica.001,1,2.1,,3,1.3,,,,,105.2,,,105.2,55.4,,,
Nicaragua,MOMOTOMBO,344090,12.423,-86.539,,83,,83.0,24.9,GB,"Arellano et al., in rev, Werner et al., 2019",10.196/novac.momotombo.001,1.5,,2.5,,,,,2.4,0.8,,,137.0,137.0,61.4,,,
Nicaragua,MASAYA,344100,11.984,-86.161,316.455,94,34,316.5,356.7,SB,"Carn et al., 2017",10.1038/srep44095,,,,2.7,0.7,,,,,587.4,,,587.4,344.0,,,
Nicaragua,CONCEPCION,344120,11.538,-85.622,,68,29,68.0,20.4,GB,"Arellano et al., in rev",10.196/novac.concepcion.001,,,,,,,,2.4,0.8,,,112.2,112.2,50.3,,,
Costa_Rica,RINCON,345020,10.83,-85.324,,,9,, ,,"Carn et al., 2017",10.1038/srep44095,,,,,,,,,,,,,,,,,
Costa_Rica,ARENAL,345033,10.463,-84.703,128.115,13,3,128.1,144.4,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,,,1.2,0.8,,,105.7,105.7,90.7,,,
Costa_Rica,POAS,345040,10.2,-84.233,,,,, ,,"Carn et al., 2017",10.1038/srep44095,,,,0.5,0.1,,,,,,,,38.0,25.0,,,
Costa_Rica,TURRIALBA,345070,10.025,-83.767,274.115,120,73,274.1,309.0,SB,"Carn et al., 2017, Werner et al., 2019",10.1038/srep44095,3,7.0,,3.4,0.8,,,,,640.7,,,640.7,375.3,,,
Cascades,Rainier,321030,46.853,-121.76,,,,,0.0,GB,,,,,,,,,,1.2,0.8,,,,,,,,
Cascades,Lassen Peak,323080,40.492,-121.508,,,,,0.0,GB,,,,,,,,,,,,,,,,,,,
Cascades,Mount Baker,321010,48.777,-121.813,,,,,0.0,GB,,,,,,,,,,1.2,0.8,,,,,,,,
Cascades,Mount Hood,322010,45.374,-121.695,,,,,0.0,GB,,,,,,,,,,1.2,0.8,,,,,,,,
Cascades,Mount St. Helens,321050,46.2,-122.18,,26,,26.427,7.9,GB,this work ,,,,,6.3,3.3,,,,,114.5,,,114.5,69.1,,,
Cascades,Mt Shasta,323010,41.409,-122.193,,,,,0.0,GB,,,,,,,,,,1.2,0.8,,,,,,,,
Cascades,Adams,321040,46.206,-121.49,,,,,0.0,GB,,,,,,,,,,1.2,0.8,,,,,,,,
