,,,,
,,,,
,,,,
,,,,
,,,,
Volcano Name,IGSN,latitude,longitude,GVP Volcano Number
LOKON-EMPUNG,,1.358,124.792,266100
SOPUTAN,,1.112,124.737,266030
SOUFRIERE_HILLS(MONTSERRAT),,16.72,-62.18,360050
SOUFRIERE_GUADELOUPE,,16.044,-61.664,360060
SOUFRIERE_ST._VINCENT,,13.33,-61.18,360150
MICHAEL(SAUNDERS),,,,
ETNA,,37.748,14.999,211060
STROMBOLI,,38.789,15.213,211040
VULCANO ISLAND,,38.404,14.962,211050
Santorini,,36.404,25.396,212040
NYIRAGONGO,,-1.52,29.25,223030
NYAMURAGIRA,,-1.408,29.2,223020
Oldoinyo Lengai,,-2.764,35.914,222120
JEBEL AT-TAIR,,15.55,41.83,221010
ZUBAIR GROUP,,15.05,42.18,221020
ERTA 'ALE-DALAFFILLA,,13.6,40.67,221080
MANDA HARARO,,12.17,40.82,221115
NABRO,,13.37,41.7,221101
PITON DE LA FOURNAISE,,-21.244,55.708,233020
Eyjafjallajökull,,63.633,-19.633,372020
Grimsvotn,,64.416,-17.316,373010
Bardabunga,,64.633,-17.516,373030
Krisuvik,,63.883,-22.083,371030
Sierra Negra,,-0.83,-91.17,353050
Cerro Azul,,-0.92,-91.408,353060
Fernandina,,-0.37,-91.55,353010
Wolf,,0.02,-91.35,353020
Montagu,,-58.445,-26.374,390081
Barren Island,,12.278,93.858,260010
Kilauea,,19.421,-155.287,332010
MANAM,,-4.08,145.037,251020
EREBUS,,-77.53,167.17,390020
FOGO,,14.95,-24.35,384010
Karthala,,-11.75,43.38,233010
